MIGRAINE	HEADACHE	UNSOLVED	AFTER
LOBE	EAR	WALLET	STOP
YES	NO	SOBER	FUNNY
HUSBAND	WIFE	PROFIT	UNCLE
FIB	LIE	FROSTING	PIZZA
TARDY	LATE	BROOM	SWEAT
CRIB	BABY	DIME	PICKLE
WARDROBE	CLOTHES	HAPPY	CORN
QUENCH	THIRST	SHINGLE	CHAIR
HIM	HER	ANATOMY	HATE
MARGARINE	BUTTER	DESIRE	DOCTOR
WICK	CANDLE	EMPLOYMENT	CAT
IN	OUT	PEANUT	RUN
YOLK	EGG	QUIVER	DUCK
NAP	SLEEP	BEETLE	FROG
LEFT	RIGHT	ESCARGOT	TIRED
BRIDE	GROOM	CRACKLE	TREE
FLIPPER	DOLPHIN	PRIM	HIGH
LIBRARY	BOOK	ONCE	FISH
COMPREHEND	UNDERSTAND	DAGGER	JEANS
MOM	DAD	STING	SHE
CINEMA	MOVIE	HINGE	CHEESE
BROTHER	SISTER	CROCODILE	ON
SALTINE	CRACKER	IMMEDIATE	FIGHT
REMAIN	STAY	HONK	PUZZLE
HAMMER	NAIL	SWIFT	TEST
UP	DOWN	GLANCE	END
SHOVE	PUSH	BOX	PANTS
MARROW	BONE	PARROT	DRAW
CASH	MONEY	SOCK	FLOWERS
ICING	CAKE	VASE	GUN
KING	QUEEN	EMPTY	SOUP
FOUND	LOST	SNEAKER	HORSE
WEB	SPIDER	ALMIGHTY	WINDOW
SCISSORS	CUT	SUDS	LIGHT
WASHER	DRYER	LESS	WEST
PAL	FRIEND	ELM	PUDDING
CHIRP	BIRD	WINNER	COW
QUESTION	ANSWER	ISOLATED	ICE
RYE	BREAD	BULLETIN	LAUGH
FRAME	PICTURE	POSITIVE	DOG
WEEP	CRY	ENTRANCE	NIGHT
ASSIST	HELP	GIFT	LOVE
ITCH	SCRATCH	FAUCET	BLOOD
SIRLOIN	STEAK	BUBBLE	WET
THUNDER	LIGHTNING	VINE	SCARED
KEG	BEER	DISLIKE	CAN
NORTH	SOUTH	KINETIC	FIRE
COBRA	SNAKE	CONCLUSION	BEE
ILL	SICK	PASTE	PLANE
