onset	duration	sample	trial_type	stim_file	value	event_type
4.4414	0.0	4549	response	n/a	202	incorrect_response
7.3369	0.0	7514	response	n/a	202	incorrect_response
11.5586	0.3	11837	stimulus	n/a	103	scrambled_face
12.0254	0.0	12315	response	n/a	201	correct_response
13.0244	0.3	13338	stimulus	n/a	160	scrambled_car
13.3613	0.0	13683	response	n/a	201	correct_response
14.458	0.3	14806	stimulus	n/a	117	scrambled_face
14.8174	0.0	15174	response	n/a	201	correct_response
16.04	0.3	16426	stimulus	n/a	149	scrambled_car
16.4248	0.0	16820	response	n/a	201	correct_response
17.5898	0.3	18013	stimulus	n/a	70	car
18.0332	0.0	18467	response	n/a	201	correct_response
19.0723	0.3	19531	stimulus	n/a	31	face
19.4248	0.0	19892	response	n/a	201	correct_response
20.4893	0.3	20982	stimulus	n/a	61	car
21.0254	0.0	21531	response	n/a	201	correct_response
22.0215	0.3	22551	stimulus	n/a	133	scrambled_face
22.3613	0.0	22899	response	n/a	201	correct_response
23.4375	0.3	24001	stimulus	n/a	20	face
23.873	0.0	24447	response	n/a	201	correct_response
24.8711	0.3	25469	stimulus	n/a	59	car
25.4248	0.0	26036	response	n/a	202	incorrect_response
26.3369	0.3	26970	stimulus	n/a	44	car
26.793	0.0	27437	response	n/a	201	correct_response
27.8691	0.3	28539	stimulus	n/a	23	face
28.3369	0.0	29018	response	n/a	201	correct_response
29.3193	0.3	30024	stimulus	n/a	140	scrambled_face
29.793	0.0	30509	response	n/a	201	correct_response
30.8848	0.3	31627	stimulus	n/a	29	face
31.3369	0.0	32090	response	n/a	201	correct_response
32.4512	0.3	33231	stimulus	n/a	77	car
32.8965	0.0	33687	response	n/a	201	correct_response
34.001	0.3	34818	stimulus	n/a	176	scrambled_car
34.4482	0.0	35276	response	n/a	201	correct_response
35.584	0.3	36439	stimulus	n/a	136	scrambled_face
36.0166	0.0	36882	response	n/a	201	correct_response
37.0664	0.3	37957	stimulus	n/a	119	scrambled_face
37.6162	0.0	38520	response	n/a	201	correct_response
38.499	0.3	39424	stimulus	n/a	174	scrambled_car
38.9766	0.0	39913	response	n/a	201	correct_response
40.082	0.3	41045	stimulus	n/a	163	scrambled_car
40.6328	0.0	41609	response	n/a	201	correct_response
41.5146	0.3	42512	stimulus	n/a	30	face
42.0723	0.0	43083	response	n/a	201	correct_response
43.0811	0.3	44116	stimulus	n/a	40	face
43.5283	0.0	44574	response	n/a	201	correct_response
44.5137	0.3	45583	stimulus	n/a	39	face
45.0	0.0	46081	response	n/a	201	correct_response
45.9131	0.3	47016	stimulus	n/a	66	car
46.4082	0.0	47523	response	n/a	201	correct_response
47.4961	0.3	48637	stimulus	n/a	54	car
47.9443	0.0	49096	response	n/a	201	correct_response
48.9619	0.3	50138	stimulus	n/a	9	face
49.5527	0.0	50743	response	n/a	201	correct_response
50.4785	0.3	51691	stimulus	n/a	102	scrambled_face
51.0166	0.0	52242	response	n/a	201	correct_response
52.0107	0.3	53260	stimulus	n/a	36	face
52.4639	0.0	53724	response	n/a	201	correct_response
53.5107	0.3	54796	stimulus	n/a	13	face
53.9766	0.0	55273	response	n/a	201	correct_response
55.043	0.3	56365	stimulus	n/a	76	car
55.6084	0.0	56944	response	n/a	201	correct_response
56.626	0.3	57986	stimulus	n/a	52	car
57.04	0.0	58410	response	n/a	201	correct_response
58.0586	0.3	59453	stimulus	n/a	162	scrambled_car
58.624	0.0	60032	response	n/a	201	correct_response
59.542	0.3	60972	stimulus	n/a	78	car
60.1602	0.0	61605	response	n/a	201	correct_response
60.958	0.3	62422	stimulus	n/a	26	face
61.5439	0.0	63022	response	n/a	201	correct_response
62.541	0.3	64043	stimulus	n/a	178	scrambled_car
63.0801	0.0	64595	response	n/a	201	correct_response
64.1064	0.3	65646	stimulus	n/a	35	face
64.6162	0.0	66168	response	n/a	201	correct_response
